"","status","frei_datum","auftr_nr","mat_nr","charge","met_d_nr","mat_bez","chargengroesse","anzahl_muster","aql_aql","aql_niveau","R-P001","R-P026","R-P027","R-P028","R-P029","order","newn","NewN20","kfac","pfac","fsfac","dose_lsl","itime_usl","npos_usl","act_lsl","act_usl","idepth_lsl","idepth_usl"
"1","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",1,"JUPITER",85156,200,"0,25","I",2.1262,12.25,6.98,6.63,6.028,1,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"2","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",2,"JUPITER",85156,200,"0,25","I",2.1219,12.53,6.97,6.89,5.826,2,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"3","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",3,"JUPITER",85156,200,"0,25","I",2.1248,12.3,6.99,6.58,6.108,3,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"4","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",4,"JUPITER",85156,200,"0,25","I",2.1135,12.05,6.19,6.68,6.016,4,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"5","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",5,"JUPITER",85156,200,"0,25","I",2.1143,12.09,6.45,6.77,5.921,5,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"6","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",6,"JUPITER",85156,200,"0,25","I",2.128,12.04,6.4,6.37,6.341,6,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"7","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",7,"JUPITER",85156,200,"0,25","I",2.1176,12.21,6.71,6.79,5.876,7,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"8","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",8,"JUPITER",85156,200,"0,25","I",2.1126,12.31,6.32,6.7,5.973,8,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"9","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",9,"JUPITER",85156,200,"0,25","I",2.1252,12.42,6.51,6.81,5.847,9,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"10","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",10,"JUPITER",85156,200,"0,25","I",2.1204,11.53,6.66,6.78,5.896,10,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
